"AUTHOR","TITLE","QWORD","QUOTE","Birthreg","POETRY","GENERIC_QWD","NEGATIVE","RHET"
"Segalovich","Antosha-novels","QWORD","װעמען פארטײדיקט ער ?","","NA","QWORD","NA","NA"
"Borokhov Ber","Geklibene Shriften 1905-1914","CZY","צי קען די עמיגראַציאָנס-אָרגאַניזאַציע זײן רײן-דעמאָקראַטיש ?","UA-CRK","NA","CZY","NA","NA"
"Segalovich","Antosha-novels","NOQWORD","—לערן זיך,——האָט אים אַ חבר געראַמען—געלט האָסטו, צײט  —איצטער זיך לערנען?","","NA","NOQWORD","NA","NA"
"Sforim","Letzte shriften 1904-1917","QWORD","אַ פאָהר אַהין אַ פאָהר צוריק, אַײן עס, אַ טרונק קאָסט דאָך געלד, און װוּ זענען װײבּער ?","","NA","QWORD","NA","NA"
"Markish","Dor oys dor eyn 1929 FIC","QWORD","בּא יעדערן זיך אָפּגעשטעלט, ארײנגעקוקט אינעװײניק אין שטױבּיק שרײענדיקע אינגעװײדן פון אָט דעם נײעם מין גאָלעס, געטײלט <quote>גוט י מאָרגנס<quote> די אָרעמע װאַנדערער און זיך פאַנאַנדערגעפרעגט :  פונװאַנען, אידן ?","","NA","QWORD","NA","NA"
"A. Reisen","Dertseylungen","QWORD","אום האַרבםט, װען דער װינט פלעגט בלאָזן, פלעגן דעמאָלט די צװײגן זיך שאָקלען און רױשן טרויעריק אין פענצטער אַריין, װי זײ װאָלטן עפעם אָן אומעטיקע לאָנגאָנענדיקע מײםע װעלן כאָ?","BY-MSQ","NA","QWORD","NA","NA"
"Varshavski Oyzer","Shmuglars 1920","QWORD","—גײ שױן, גרונם, װאָס איז עס פאַר אַ לשון?","","NA","QWORD","NA","NA"
"Markish","Dor oys dor eyn 1929 FIC","QWORD","גזאָמער װאָס ?","","NA","QWORD","NA","NA"
"Vergelis","Oyg oyf Oyg collection POE","NOQWORD","זאָט דעו געקאָנט עש דשאַליו פאַרתאַלשו ן זאָט דעו געקאָנט עע זשאַליו צעשפּאַלטו ?","","YPOETRY","NOQWORD","NA","NA"
"Markish","Der Trot fun Doyres 1947 FIC","QWORD"," ס'איז אים עפּעס געװאָרן טײַערער; ער האָט פונדאָסנײַ באטראכט דעם באלקן, די ערטערװײַז שימלענדיקע װענט און צװישן אײן װאנט און דער צװײטער ארײַנגעגאנװעט א קוק אפן קװארטיראנט אלײן, װאָס האָט אים איצט אױסגעזען א סאך גרעסער, װי ער איז, און פארמאכנדיק דעם בוך מיט אן איבערגעלאָזטן פינגער אינװײניק, האָט ער א זאָג געטאָן שטראלנדיק:  — הײסט עס, אף איבערקערן די װעלט מאכט ניט אױס, אז מע איז א ייִִד און דע-גלײַכן?","","NA","QWORD","YNEG","NA"
"Markish","Dor oys dor eyn 1929 FIC","NOQWORD","ס'װאָלט דיר ניט געפאסט זײן קײן זאַװאָדטשיק, מײנסטו, האַ ?","","NA","NOQWORD","YNEG","NA"
"Segal Kalman","Getraye Libe 1960 FIC","QWORD","האָסט געזען  אַמאָל אַ קלײן קינד, װאָס איז נרשט געבױרן גערואָרן?","","NA","QWORD","NA","NA"
"A. Reisen","Dertseylungen","QWORD","  —	מיינער, װאָם הײםט מי״יגער?","BY-MSQ","NA","QWORD","NA","NA"
"Sutskever","Valdiks 1937-1939 POE","CZY","צי איז דײַן פּנים אײנערלײ מיט מײַנעם?","","YPOETRY","CZY","NA","NA"
"Spektor Mordechai","Elnte un Farshtosene","CZY-dep","װער װײסט צי זי װעט מיך שױן גאָר אין שטובּ אַרײנלאָזן און װוּ אַהין-זשע האָבּ איך דען צו גײן, אַז נישט צו „דער פלײשיקער ?","","NA","CZY-dep","YNEG","YRHET"
"A. Reisen","Naye Verk","NOQWORD","בּרוקירען ?","","NA","NOQWORD","NA","NA"
"Sholem Ash","Motiven","QWORD","— נו , װײַס ניט נאָט װאָס ער טוט ?","","NA","QWORD","YNEG","NA"
"Spektor Mordechai","Shmad un Fertsvayflung","QWORD","— פאַניע סטאַרשינע,—האָט דבורה זיך אָנגערופן צו אים מיט אַירחמנות רחמנות פנים, װי גלײך דאָס גרעסטע אומגליק האָט זי געטראָפן, - אפשר װאָלסטו אים אָפּגעלאָזט פרײ ?","","NA","QWORD","NA","NA"
"Varshavski Oyzer","Shmuglars 1920","QWORD","זעען יענע ייִדן, װי די חברה װאַקסט, נעמען זײ זי * דיקן אױף הינטער און ס'געפינען זיך שױן אַ פּאָר בּעליבּתישע מענטשלאַך, װאָס טענהן :  —צי װאָס האָט דאָס געטױגט ?","","NA","QWORD","NA","NA"
"Sholem","Blondzhe Stern","QWORD","<quote>זיץ, מאַכט צו אים דער פּאָרעץ, זיץ, װאָס שטײסטו ?","","NA","QWORD","NA","NA"
"Dinezon","Zikrones nybc 207361","QWORD","מאַכט זיך אַמאָל, עס עפנט בּײ אים אַ שטיװל דאָס מױל, אַ  גאָט רײסט זיך, אָדער זײנע אַרבּל האָבּן זיך אױסגעריבּן און דער אונטערשלאַק הײבּט זיך אָן ארױסצוּװײזן, זאָגט בּרוך :  — צו װאָס האָט גאָט, בּרוך הוא, בּאַשאַפן אַ נאָדל-פאָדם מיט לאַטקעלעך ?","","NA","QWORD","NA","NA"
"Ettinger","Serkele","QWORD","װאָס פֿעלט אײַך, װאָס?","","NA","QWORD","NA","NA"
"Dinezon","Alter","QWORD","— װאָס-זשע טוט מען פאָרט, ער זאָל יענע פאַרגעסן?","","NA","QWORD","NA","NA"
"Linetski","Dos poylishe yungel 1867","NOQWORD","האַ ?","","NA","NOQWORD","NA","NA"
"Markish","Milkhome Stalingrad POE","QWORD","איז װעלכער װינט האָט זיך ניט אָפּגעשטעלט אַליע ?","","YPOETRY","QWORD","YNEG","NA"
"Spektor Mordechai","Yiddishe Tekhter","QWORD","װאָס טוט מען גישבּ פון אַ קינדס װעגן ?","","NA","QWORD","NA","NA"
"Dinezon","Alter","QWORD","זעט ער זי, קוקט זי אַלעמאָל אױף אים, נאָר װאָס איז דאָפּ זײן דאגה ?","","NA","QWORD","NA","NA"
"Perets","Geklibene verk nybc 209359","QWORD","— װאָס װעל איך דאָרט טאָן ?","","NA","QWORD","NA","NA"
"Perets","Geklibene verk nybc 209359","NOQWORD","פּערע ?","","NA","NOQWORD","NA","NA"
"Eliezer Steinbarg","Mayselekh kindertales","QWORD","האַלט דער נאָװי זיך מיטן פעדערל אין מױל און װײסט ניט, נעבעך, װאָס מיט אים צו טון : אַװעקװאַרפן ?","","NA","QWORD","YNEG","NA"
"Linetski","Der Pritshepe 1876","QWORD","— נאָר דיא קשיא, װאָס נאָך קען מען אױפטיהן פֿאַר גײעס אין אחשורוש-שפיעל, װאָס אַללע פורים שפיעלער האָבען שון בין אַהער ניט אױפֿגעטיהן ?","","NA","QWORD","YNEG","NA"
"Kaczerginski","Grine legende stories 1943","QWORD","װי האָבן זײ זיך צוזאמענגערעדט?","","NA","QWORD","NA","NA"
"Vergelis","Notizen vegn a seyder SCI","CZY","צי איז ער גיט ניכשל געװאָרן פון די קאטױלישע פּאָסטולאטן?","","NA","CZY","NA","NA"
"Ester Kreitman","Briliantn 1944 FIC","NOQWORD","װײניק שידוכים,  אסתר קרייטמאַן  מײנט איר, האָב איך אים שױן אַלײן גערעדט ?","","NA","NOQWORD","NA","NA"
"Sholem Aleykhem lat","Tevye","NOQWORD","--- azoy?","","NA","NOQWORD","NA","NA"
"Vergelis","Di tsayt FIC 1981","QWORD","— װען פאָרט איר אין ביראָבידזשאנער ראיאָן און אף װאָס פאר א שטעלע?","","NA","QWORD","NA","NA"
"Sutskever","Yidishe Gas 1941-1947 POE","NOQWORD","און װעדליק צײט ?","","YPOETRY","NOQWORD","NA","NA"
"Eliezer Steinbarg","Mesholim POE","NOQWORD","נײן ?","","YPOETRY","NOQWORD","NA","NA"
"Sforim","di takse 1869","QWORD","װאס איז איהר האט אױך אַ כבוד ?","","NA","QWORD","NA","NA"
"Linetski","Dos poylishe yungel 1867","QWORD","אײ פֿון װאס ?","","NA","QWORD","NA","NA"
"Spektor Mordechai","Soydes","QWORD","גאָר װאָס װעל איך אײך גײן דערצײלן?","","NA","QWORD","NA","NA"
"Fefer","Rotarmeyish 1944 POE","QWORD","װער װײסט ?","","YPOETRY","QWORD","NA","NA"
"Segalovich","Antosha-novels","QWORD","װוּ איז דאָס אַהינגעקומען ?","","NA","QWORD","NA","NA"
"Vergelis","Reyzes","NOQWORD","— אראָפּנעמען דעם כײרעם, אין װעלכן מע האָט שפּינאָזען ארײַנגעלײגט מיט דרײַ הונדערט יאָר צוריק?","","NA","NOQWORD","NA","NA"
"Markish","Der Trot fun Doyres 1947 FIC","NOQWORD","פארשטײסט?","","NA","NOQWORD","NA","NA"
"Perets","Geklibene verk nybc 209359","CZY","צי ליגט נישט אין אים דער שמערץ פאַר אַלע, דאָס לײדן פאַרן גאַנצן דאָר ?","","NA","CZY","YNEG","NA"
"Sforim","Letzte shriften 1904-1917","NOQWORD","אבער קידוש מאַכט רב יודעל ?","","NA","NOQWORD","NA","NA"
"Horonczyk","In geroysh fun mashinen","NOQWORD","ער האָט לאנג דך געשלאָגן מיט דער דעה, צי ער זאָל פרעגן, און ערשע נאָך אַ לאַנגן איבּערלײגן זיך, האָט ער אַ פרעג געטאָן:  — און די פאַרטײ אַרבּעט — פירט אָן סעמערל ?","","NA","NOQWORD","NA","NA"
"A. Reisen","Dertseylungen","NOQWORD","  —	אַן אומגליק?","BY-MSQ","NA","NOQWORD","NA","NA"
"Dinezon","Tsvey mames","QWORD","— פאַרװאָס ?","","NA","QWORD","NA","NA"
