"rn","CZY","NOQWORD","QWORD","czyperc","ALLSUM","Birthreg","Birthdate","Dialect","LANG","POETRY"
"A. Reisen",6,415,335,0.0328998001207027,764,"BY-MSQ","1876","BY","YID","NA"
"Bergelson",6,217,181,0.0819905753591245,417,"UA-CRK","1884","UA","YID","NA"
"Berl Botwinik",1,192,245,0.0154377574066694,440,"BY-MSQ","1885","BY","YID","NA"
"Borokhov Ber",10,26,91,0.304804804804805,128,"UA-CRK","1881","UA","YID","NA"
"Der Nister",13,181,453,0.0970103092783505,653,"UA-ZHT","1884","UA","YID","NA"
"Dick Isaac",1,52,90,0.0373864430468204,144,"LT-VNO","1807","BY","YID","NA"
"Dinezon",11,415,857,0.113616029,1324,"LT-KUN","1856","BY","YID","NA"
"Eliezer Steinbarg",6,165,238,0.0523290986085904,412,"UA-MLD","1880","UA","YID","NA"
"Eliezer Steinbarg POE",6,251,290,0.0386719740000298,551,"UA-MLD","1880","UA","YID","YPOETRY"
"Ester Kreitman",10,518,694,0.0375267545341894,1232,"PL-LOD","1891","PL","YID","NA"
"Ettinger",3,336,371,0.0147146601614201,712,"PL-WAW","1802","PL","YID","NA"
"Fefer POE",17,142,331,0.208613154247948,508,"UA-KYV","1900","UA","YID","YPOETRY"
"Fininberg",0,32,20,0.0588235294117647,54,"UA-CRK","1889","UA","YID","NA"
"Fininberg POE",0,73,70,0.0641025641025641,148,"UA-CRK","1889","UA","YID","YPOETRY"
"Hirshbeyn",23,398,812,0.0778336851271142,1243,"BY-GRO","1880","BY","YID","NA"
"Horonczyk",8,64,129,0.233062330623306,211,"PL-POZ","1889","PL","YID","NA"
"Israel Zinger",0,259,328,0.0263157894736842,594,"PL-LUB","1893","PL","YID","NA"
"J. Glatstein",1,33,34,0.110492845786964,71,"PL-LUB","1896","PL","YID","NA"
"J. Glatstein POE",1,54,78,0.0360389610389611,134,"PL-LUB","1896","PL","YID","YPOETRY"
"Kaczerginski",19,227,416,0.131081926203877,676,"LT-VNO","1908","BY","YID","NA"
"Kazakevitch POE",1,34,20,0.131135531135532,59,"UA-PLT","1913","UA","YID","YPOETRY"
"Kulbak",6,249,291,0.0720368744512731,559,"LT-VNO","1896","BY","YID","NA"
"Kulbak POE",5,35,75,0.236111111111111,120,"LT-VNO","1896","BY","YID","YPOETRY"
"Linetski",1,261,259,0.0334464235227594,529,"UA-VYN","1839","UA","YID","NA"
"Markish",39,1042,1427,0.0691725179925167,2545,"UA-KHM","1895","UA","YID","NA"
"Markish POE",41,136,178,0.33316126071869,375,"UA-KHM","1895","UA","YID","YPOETRY"
"Pechersky",3,43,48,0.126441881100266,97,NA,NA,NA,"YID","NA"
"Perets",33,357,553,0.119268849961919,957,"PL-LUB","1852","PL","YID","NA"
"Perets POE",3,14,39,0.281733746130031,58,"PL-LUB","1852","PL","YID","YPOETRY"
"Rolnikaite",29,112,161,0.295996339510409,316,"LT-KLP","1927","LT","YID","NA"
"Segal Kalman",23,335,336,0.0940561081588469,705,"PL-RZE","1917","PL","YID","NA"
"Segalovich",26,341,657,0.141730762597868,1052,"PL-BEL","1884","BY","YID","NA"
"Sforim",2,553,1120,0.0107592386662154,1679,"BY-MSQ","1836","BY","YID","NA"
"Sholem",13,1163,1972,0.0725069357351879,3225,"UA-KYV","1859","UA","YID","NA"
"Sholem Aleykhem lat",2,129,1,0.0728211324070515,140,NA,NA,NA,"YID","NA"
"Sholem Ash",21,273,417,0.101131541725601,720,"PL-LOD","1880","PL","YID","NA"
"Spektor Mordechai",18,923,2107,0.0549892423476943,3083,"UA-CRK","1857","UA","YID","NA"
"Sutskever",1,31,90,0.210737179487179,129,"UA-VNO","1913","BY","YID","NA"
"Sutskever POE",27,107,208,0.244349680170576,348,"UA-VNO","1913","BY","YID","YPOETRY"
"Varshavski Oyzer",3,153,252,0.0502866698518872,413,"UA-WAW","1898","PL","YID","NA"
"Vergelis",45,494,690,0.146096636282972,1265,"UA-ZHT","1918","UA","YID","NA"
"Vergelis POE",10,65,38,0.261240310077519,124,"UA-ZHT","1918","UA","YID","YPOETRY"
"Yehuda Steinbarg",8,75,153,0.108290304073437,237,"UA-MLD","1863","UA","YID","NA"
"Aleksander Glowacki",1924,6431,9654,0.230281268701376,18009,"PL-LUB","1847","MPL","PL","NA"
"Boguslaw Adamowicz",3,10,20,0.230769230769231,33,"BY-MSQ","1870","NKRES","PL","NA"
"Boleslaw Lesmian",120,263,565,0.31331592689295,948,"PL-WAW","1877","MAZ","PL","NA"
"Bruno Schulz",66,21,128,0.758620689655172,215,"UA-LWO","1892","SKRES","PL","NA"
"Eliza Orzeszkowa",2385,4396,11038,0.351718035687952,17819,"BY-GRO","1841","NKRES","PL","NA"
"Ferdynand Ossendowski",14,36,69,0.28,119,"LV-DGP","1878","NKRES","PL","NA"
"Jozef Kraszewski",18,116,130,0.134328358208955,264,"PL-WAW","1812","MAZ","PL","NA"
"Karol May",79,60,82,0.568345323741007,221,NA,NA,NA,"PL","NA"
"Klemens Bakowski",32,161,146,0.16580310880829,339,"PL-KRK","1860","MPL","PL","NA"
"Korczak Janusz",88,174,237,0.33587786259542,499,"PL-WAW","1878","MAZ","PL","NA"
"Stanislaw Lem",61,331,361,0.155612244897959,753,"UA-LWO","1921","SKRES","PL","NA"
"Maria Rodziewicz<U+0443>wna",40,393,325,0.092378752886836,758,"BY-GRO","1864","NKRES","PL","NA"
"Maria Konopnicka",405,1201,2528,0.252179327521793,4134,"PL-BLS","1842","MAZ","PL","NA"
"Stanislaw Wyspianski",264,1251,1897,0.174257425742574,3412,"PL-KRK","1869","MPL","PL","NA"
"Stefan Zeromski",860,2545,4236,0.252569750367107,7641,"PL-KLC","1864","MPL","PL","NA"
"Tadeusz Boy-Zelenski",1944,3032,6319,0.390675241157556,11295,"PL-WAW","1874","MAZ","PL","NA"
"Waclaw Berent",54,416,418,0.114893617021277,888,"PL-WAW","1878","MAZ","PL","NA"
"Wladyslaw Stanislaw Reymont",367,2994,4237,0.109193692353466,7598,"PL-LOD","1867","MAL","PL","NA"
"Czeslaw Milosz",53,79,160,0.401515151515151,292,"LT","1911","NKRES","PL","NA"
"Jan Dobraczynski",489,2009,2034,0.195756605284227,4532,"PL-WAW","1910","MAZ","PL","NA"
"Marek Krajewski",51,397,540,0.113839285714286,988,"PL-WRO","1966","WPL","PL","NA"
"Tadeusz Konwicki",72,384,457,0.157894736842105,913,"LT-VNO","1926","NKRES","PL","NA"
"Агатангел Кримський",100,280,NA,0.249329758713137,373,"UA-ZHT","1871",NA,"UKR","NA"
"Адріан Кащенко",169,486,NA,0.244167962674961,643,"UA-DNK","1858",NA,"UKR","NA"
"Андрій Головко",64,311,NA,0.163978494623656,372,"UA-PLT-REG","1897",NA,"UKR","NA"
"Андрій Чайковський",144,495,NA,0.210526315789474,627,"UA-LVV-REG","1857",NA,"UKR","NA"
"Антін Крушельницький",237,982,NA,0.183707398171239,1203,"PL","1878",NA,"UKR","NA"
"Арсен Паламар",220,286,NA,0.413934426229508,488,"UA-TRN-REG","1936",NA,"UKR","NA"
"Архип Тесленко",24,327,NA,0.0576368876080692,347,"UA-PLT-REG","1882",NA,"UKR","NA"
"Богдан Бойчук",73,215,NA,0.253472222222222,288,"UA-TRN-REG","1927",NA,"UKR","NA"
"Богдан Лепкий",456,2690,NA,0.136713735558408,3116,"UA-TRN","1872",NA,"UKR","NA"
"Борис Антоненко-Давидович",15,204,NA,0.0599078341013825,217,"UA-SUM-REG","1899",NA,"UKR","NA"
"Борис Грінченко",122,594,NA,0.164556962025316,711,"UA-HRK-REG","1863",NA,"UKR","NA"
"Борис Тенета",21,324,NA,0.0608695652173913,345,"UA-DNP-REG","1903",NA,"UKR","NA"
"Валер'ян Підмогильний",88,729,NA,0.106617647058824,816,"UA-HRS-REG","1901",NA,"UKR","NA"
"Василь Вражливий",29,268,NA,0.0915254237288136,295,"UA-PLT-REG","1903",NA,"UKR","NA"
"Василь Королів-Старий",76,257,NA,0.225903614457831,332,"UA-CRG-REG","1879",NA,"UKR","NA"
"Віктор Петров-Домонтович",129,426,NA,0.216911764705882,544,"UA-DNP","1894",NA,"UKR","NA"
"Володимир Винниченко",720,9652,NA,0.0670790643727044,10346,"UA-KRV","1880",NA,"UKR","NA"
"Володимир Владко",155,931,NA,0.136363636363636,1078,"RU","1901",NA,"UKR","NA"
"Гнат Хоткевич",38,208,NA,0.147540983606557,244,"UA-HRK","1878",NA,"UKR","NA"
"Гордій Брасюк",42,459,NA,0.082,500,"UA-ZHT-REG","1899",NA,"UKR","NA"
"Григорій Епік",66,664,NA,0.0879120879120879,728,"RU","1901",NA,"UKR","NA"
"Григорій Квітка-Основ'яненко",210,404,NA,0.317567567567568,592,"UA-HRK-REG","1778",NA,"UKR","NA"
"Дмитро Бузько",59,299,NA,0.160112359550562,356,"UA-KRV","1891",NA,"UKR","NA"
"Докія Гуменна",43,219,NA,0.157692307692308,260,"UA-CRK-REG","1904",NA,"UKR","NA"
"Зiнаїда Тулуб",198,906,NA,0.17032967032967,1092,"UA-KYV","1890",NA,"UKR","NA"
"Іван Багряний",63,371,NA,0.137209302325581,430,"UA-SUM-REG","1906",NA,"UKR","NA"
"Іван Карпенко-Карий",264,1990,NA,0.108822212270488,2233,"UA-HRS-REG","1845",NA,"UKR","NA"
"Іван Кочерга",15,208,NA,0.0630630630630631,222,"UA-CRG-REG","1881",NA,"UKR","NA"
"Іван Микитенко",69,882,NA,0.0686378035902851,947,"UA-RIV","1897",NA,"UKR","NA"
"Іван Нечуй-Левицький",2537,3226,NA,0.402481941100204,5399,"UA-CRK","1838",NA,"UKR","NA"
"Іван Франко",236,1124,NA,0.163690476190476,1344,"UA-LVV-REG","1856",NA,"UKR","NA"
"Катря Гриневичева",31,315,NA,0.0789473684210526,342,"UA-LVV","1875",NA,"UKR","NA"
"Клим Поліщук",40,347,NA,0.101036269430052,386,"UA-ZHT-REG","1891",NA,"UKR","NA"
"Лесь Мартович",119,633,NA,0.151474530831099,746,"UA-IFR-REG","1871",NA,"UKR","NA"
"Леся Українка",174,538,NA,0.231428571428571,700,"UA-ZHT","1871",NA,"UKR","NA"
"Людмила Старицька-Черняхівська",57,191,NA,0.226720647773279,247,"UA-KYV","1868",NA,"UKR","NA"
